Entity,Day,Training computation (petaFLOP),Domain
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),2018-08-30,666.00006,Language
4 layer QRNN (h=2500),2018-03-22,591.5882,Language
ACF-WIDER,2014-07-15,0.07638001,Vision
ADALINE,1960-06-30,6.6e-12,Vision
ADAM (CIFAR-10),2014-12-22,0.62497985,Vision
ADM,2021-05-11,6200000,Image generation
AFM-on-device,2024-07-29,451260000,Language
AFM-server,2024-07-29,4300000000,Language
ALBERT-xxlarge,2020-02-09,2390000,Language
ALIGN,2021-06-11,25986700,Multiple domains
ALLaM adapted 70B,2024-05-21,1062000060,Language
ANN Eye Tracker,1993-11-29,0.000017534401,Vision
AR-LDM,2022-11-20,510000,Image generation
ASE+ACE,1983-09-01,3.24e-7,Robotics
AWD-LSTM + MoS + Partial Shuffled,2019-06-10,315.00003,Language
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),2017-08-07,297.00003,Language
AWD-LSTM+WT+Cache+IOG (WT2),2017-09-26,3.18,Language
AWD-LSTM-DRILL + dynamic evaluation† (WT2),2019-05-14,408,Language
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",2017-11-10,3360,Language
Adaptive Input Transformer + RD,2021-06-28,85800.01,Language
AgentFounder-30B,2025-09-16,653670000,Language
AlexNet,2012-09-30,470,Vision
AlexaTM 20B,2022-08-02,204374020,Language
AlphaCode,2022-02-02,238010000,Language
AlphaFold,2020-01-15,100000,Biology
AlphaFold 2,2020-11-30,2990000,Biology
AlphaFold 3,2024-05-08,41405644,Biology
AlphaFold-Multimer,2021-10-04,4350000,Biology
AlphaGo Fan,2015-10-01,380000.03,Games
AlphaGo Lee,2016-01-27,1900000,Games
AlphaGo Master,2017-10-19,341000,Games
AlphaGo Zero,2017-10-18,649439.9,Games
AlphaStar,2019-10-30,107734000,Games
AlphaTensor,2022-10-05,714147.8,Multiple domains
AlphaX-1,2019-10-02,889.344,Vision
AlphaZero,2017-12-05,106000,Games
Amazon Nova Pro,2024-12-03,6000009700,Multiple domains
Amazon Titan,2023-09-28,4800000000,Multiple domains
Ankh_large,2023-01-16,6500000,Biology
Aramco Metabrain AI,2024-03-04,10500000000,Language
AudioGen,2023-03-05,9500000,Other
AudioLM,2023-07-26,3900,Other
BASIC-L,2021-11-19,41200000,Vision
BEIT-3,2022-08-22,70000,Multiple domains
BERT-Large,2018-10-11,285000,Language
BERT-Large-CAS (PTB+WT2+WT103),2019-04-20,154050,Language
BERT-RBP,2022-04-07,140000,Biology
BIDAF,2016-11-05,3468.6145,Language
BLIP-2 (Q-Former),2023-01-30,1200000,Multiple domains
BLOOM-176B,2022-07-11,365664000,Language
Bankruptcy-NN,1990-06-17,0.0000030593378,Other
Base LM + kNN LM + Continuous Cache,2019-11-01,30529.201,Language
Big Transformer for Back-Translation,2018-08-28,478080,Language
Big-Little Net,2018-07-10,246.048,Vision
Big-Little Net (speech),2018-07-10,429.00482,Speech
BlenderBot 3,2022-08-10,430000030,Language
BloombergGPT,2023-03-30,236000020,Language
ByT5-XXL,2021-05-28,81000000,Language
CHAI-1,2024-10-15,7760572.5,Biology
CLIP (ViT L/14@336px),2021-01-05,10500000,Multiple domains
CNN Committee (MNIST),2011-09-18,52,Vision
CNN Committee (NIST),2011-09-18,26,Vision
CNN committee (traffic sign),2011-10-03,0.99198145,Vision
CODEFUSION (Python),2023-10-26,7920,Language
CPM-Large,2020-12-01,260520,Language
CT-MoS (WT2),2020-12-25,540,Language
CaLM,2022-12-19,29000,Biology
CamemBERT,2019-11-10,830000,Language
Cancer drug mechanism prediction,1992-10-16,5.346e-8,Other
Ceramic-MLP,1994-01-07,0.0000045312,Other
ChatGLM3-6B,2023-10-27,50400000,Multiple domains
Chinchilla,2022-03-29,576000000,Language
Claude 2,2023-07-11,3866000100,Language
Claude 3.5 Sonnet,2024-06-20,26999998000,Multiple domains
Claude 3.7 Sonnet,2025-02-24,33500000000,Multiple domains
CoAtNet,2021-06-09,42700004,Vision
CoCa,2022-06-14,73000000,Vision
CodeT5-base,2021-11-01,1560000.1,Language
CodeT5-large,2022-07-05,2720000,Language
Codex,2021-07-07,73440000,Language
CogAgent,2023-12-14,67070004,Multiple domains
CogVLM-17B,2023-11-06,63310000,Multiple domains
CogView,2021-05-26,26800000,Image generation
Cognitron,1975-09-01,5.184e-9,Other
Conformer + Wav2vec 2.0 + Noisy Student,2020-10-20,7600000,Speech
ContextNet + Noisy Student,2020-01-19,8160000,Speech
Contriever,2021-12-16,157000,Language
ConvS2S (ensemble of 8 models),2017-07-25,56400,Language
Cross-lingual alignment,2019-04-04,2560,Language
DALL-E,2021-01-05,47000000,Image generation
DALL·E 2,2022-04-06,336957860,Image generation
DBRX,2024-03-27,2600000000,Language
DCNN,2015-08-07,480.9869,Vision
DD-PPO,2019-12-19,780000.06,Robotics
DDPM-IP (CelebA),2023-01-27,350000,Image generation
DETR,2020-05-26,400000,Vision
DINOv2,2023-04-14,7418511,Vision
DITTO,2022-06-06,3317.7603,Language
DLRM-2020,2019-05-31,4000,Other
DLWP,2021-02-09,5684.515,Other
DNABERT,2021-08-15,107000.01,Biology
DNN EM segmentation,2012-12-03,478,Vision
DQN,2013-12-19,2.846884,Games
DeBERTa,2021-06-10,25880000,Language
DeLighT,2020-08-03,3801.6,Language
Decision tree (classification),2001-12-08,0.063,Vision
Deep Autoencoders,2011-04-29,36.72864,Vision
DeepLoc,2017-07-07,578.1024,Biology
DeepSeek-Coder-V2 236B,2024-06-17,1285200000,Language
DeepSeek-R1,2025-01-20,3500000000,Language
DeepSeek-R1 (May 2025),2025-05-28,4020010000,Language
DeepSeek-V2.5,2024-09-06,1789200000,Language
DeepSeek-V3,2024-12-24,3300000000,Language
DeepSeek-V3 (Mar 2025),2025-03-24,3300000000,Language
DeepStack,2017-01-06,14463.36,Games
DeiT-B,2021-01-15,78840,Vision
Denoising Diffusion Probabilistic Models (LSUN Bedroom),2021-06-11,78401.25,Vision
DensePhrases,2020-12-23,2099.52,Language
Detic,2022-01-07,23439.975,Vision
DiT-XL/2,2023-03-02,600000,Image generation
DiffDock,2022-10-04,72000,Biology
Discriminator Guidance,2022-11-28,215700,Image generation
DistBelief NNLM,2013-01-16,2612.736,Language
DistBelief Speech,2012-12-03,311.40002,Speech
DistilBERT,2019-10-02,12441.6,Language
Distributed representation NN,1986-08-15,3.888e-7,Other
